dataset,type,metric,n_runs,mean_diff,sd_diff,wilcox_p,t_p,ci_lo,ci_hi,cohens_dz,n_pos,n_neg,n_zero,sign_p,OOB,SB_OOB,exp,seed
ringnorm,synthetic,R4,50,0.35003920000000066,1.119886250527185,0.028430505239845773,0.03179392549851637,0.03177104908727146,0.6683073509127297,0.31256674491290537,33,17,0,0.032839137564268595,42.72139904,43.07143824,exp3,2
twonorm,class,absdiff,50,-0.0020199999999999997,0.013762311742210896,0.32479522011244455,0.30442299792023464,-0.005931205721488297,0.0018912057214882981,-0.1467776662698595,21,29,0,0.3222363203575473,0.02196,0.019940000000000003,exp4,2
twonorm,class,eOB,50,-0.001099999999999999,0.014080309017944754,0.5731917555310099,0.583175237649064,-0.005101579547308067,0.0029015795473080696,-0.07812328540503591,20,23,7,0.7607916425613457,0.0908,0.0897,exp4,2
twonorm,class,eTS,50,-0.0006640000000000007,0.007135703846696211,0.9183003698830431,0.5136270655843285,-0.002691944594979848,0.0013639445949798466,-0.09305318918293237,28,20,2,0.3123268074732697,0.076504,0.07584,exp4,2
twonorm,class,ratio,50,-0.14563003294451338,0.938601583869165,0.33923666464046465,0.2779508295021822,-0.41237765164344176,0.12111758575441495,-0.15515638951320293,22,28,0,0.47988766169832847,1.4844609577506114,1.338830924806098,exp4,2
friedman1,reg,absdiff,50,-0.07097094749893053,0.4170280700349971,0.21659996951243224,0.2346137925431043,-0.18948901365632972,0.04754711865846868,-0.17018266298710932,19,31,0,0.11892045255943624,1.5814327883273822,1.5104618408284518,exp4,2
friedman1,reg,eOB,50,0.03181257603615533,0.39797306074709204,0.8318167262471776,0.5744920007057202,-0.08129011640017932,0.14491526847249,0.0799365061957596,23,27,0,0.6718110337653662,8.494787429237373,8.52660000527353,exp4,2
friedman1,reg,eTS,50,0.08377621544059002,0.2935954720806687,0.04363968701062788,0.04911634001580974,0.0003373054874796094,0.16721512539370045,0.28534573386598944,31,19,0,0.11892045255943624,7.875472532106046,7.959248747546636,exp4,2
friedman1,reg,ratio,50,-0.07250603637088539,0.4570439384930605,0.24278792015796494,0.26743029035743443,-0.202396486513997,0.05738441377222622,-0.15864128208318046,21,29,0,0.3222363203575473,1.8549685959317075,1.7824625595608221,exp4,2
friedman1,reg,mse_oob_outputs,50,0.14945931654891007,0.6500117814228177,0.15872322287760818,0.11039179901954116,-0.03527198776663242,0.33419062086445256,0.2299332424740933,28,22,0,0.47988766169832847,10.710358172337708,10.859817488886618,exp5,2
friedman1,reg,mse_original,50,0.0,0.0,,,,,,0,0,50,,13.337523211905136,13.337523211905136,exp5,2
friedman2,reg,mse_oob_outputs,50,-68.25541605162333,1727.5009962392767,0.7721235216141921,0.7811249367420072,-559.2057670485666,422.6949349453199,-0.03951107188951759,28,22,0,0.47988766169832847,27286.0840077736,27217.828591721976,exp5,2
friedman2,reg,mse_original,50,0.0,0.0,,,,,,0,0,50,,38281.111560898025,38281.111560898025,exp5,2
friedman3,reg,mse_oob_outputs,50,0.00022297713462379146,0.0038987720954661393,0.8167875854230882,0.6876741203960043,-0.0008850416352021831,0.001330995904449766,0.057191630894016694,26,24,0,0.8877248273407867,0.04185572195898234,0.042078699093606134,exp5,2
friedman3,reg,mse_original,50,0.0,0.0,,,,,,0,0,50,,0.04385466893475694,0.04385466893475694,exp5,2
